title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
TOODOO 4 Pairs Men Polarized Sunglasses with UV Protection Driving Glasses Sports for Sport Outdoor Activities,TOODOO,$,20.997259999999997,3.9,4539.0,0
"GloFX Ultimate Diffraction Glasses - 3D Prism Rainbow Effect - Great Edm, Concert, and Rave Accessory",GloFX,$,20.997259999999997,4.4,2233.0,2
ADE WU Rectangle Sunglasses for Women Men Retro 90s Sunglasses Trendy Black Tortoise Shell Glasses Y2K,ADE WU,$,20.997259999999997,4.6,4673.0,2
CARFIA Polarized Men's Sunglasses UV400 Protection for Driving Fishing Hiking Golf Outdoor Sport Glasses,CARFIA,$,20.997259999999997,4.6,3414.0,2
Outray Night Vision Polarized Aviator Sunglasses for Driving,Outray,$,11.57,4.1,2508.0,1
GOBIGER Aviator Sunglasses for Men 100% UV Protection Goggle Alloy Frame with Case,GOBIGER,$,14.99,4.3,7130.0,1
Oakley Men's OO9096 Fuel Cell Wrap Sunglasses,Oakley,$,20.997259999999997,4.7,5331.0,2
phikttu Classic Aviator Sunglasses for Men Women Retro Trendy Driving Sun glasses Polarized Lens UV Blocking,phikttu,$,9.99,4.5,703.0,2
NIEEPA Men's Sports Polarized Sunglasses Square Frame Glasses NP1007,NIEEPA,$,20.997259999999997,4.4,6540.0,2
LYZOIT Square Oversized Sunglasses for Women Men Big Flat Top Fashion Shield Large UV Protection Rimless Shades,LYZOIT,$,17.99,4.6,4741.0,2
Goodr OG Sunglasses,Goodr,$,25.0,4.6,6137.0,2
Freckles Mark Vintage Retro 70s Sunglasses for Women Men Classic Large Square Aviator Trendy Glasses,Freckles Mark,$,20.997259999999997,4.5,5979.0,2
"COLOSSEIN Womens Sunglasses UV400 Mirrored Lens, Fit for Outdoor, Vacation, Driving",COLOSSEIN,$,20.997259999999997,4.5,13067.0,2
KAPVOE Photochromic Cycling Glasses Men Women Mountain Bike Sunglasses Clear MTB Bicycle Riding,KAPVOE,$,20.997259999999997,4.3,1808.0,1
Polarized Sunglasses for Men Driving Mens Sunglasses Rectangular Vintage Sun Glasses For Men/Women,Sinuoda,$,9.99,4.4,7287.0,2
OLIN Yoela Triangle Rimless Sunglasses One Piece Colored Transparent Sunglasses For Women and Men,OLINOWL,$,3.99,4.6,3348.0,2
Polarized Clip On Sunglasses Over Prescription Glasses Men Women Compact Fit Non-Flip Up,CAXMAN,$,20.997259999999997,4.3,4004.0,1
CARFIA Vintage Polarized Sunglasses for Men UV400 Protection Retro Fashion Eyewear Hand-crafted Acetate Frame CA5288L,CARFIA,$,25.99,4.6,8311.0,2
"MEETSUN Fit Over Glasses Sunglasses for Men Women,Wrap Around Sunglasses Polarized 100% UV400 Protection",MEETSUN,$,20.997259999999997,4.2,4051.0,1
"Lasiyanor Lightweight TAC Polarized Tinted Classic Vintage Retro 70s Sunglasses, TR-90 Frame for Women Men, UV 400 Protection",Lasiyanor,$,20.997259999999997,4.3,1641.0,1
"KleenGuard™ V30 Nemesis™ Safety Glasses (22475), with Anti-Fog Coating, Smoke Lenses, Black Frame, Unisex Sunglasses for Men and Women (Qty 12)",KLEENGUARD,$,49.1,4.7,1316.0,2
ShadyVEU Super Dark Black Lens Round Sunglasses UV Protection Spring Hinge Soft Matte Frame Fashion Shades,ShadyVEU,$,20.997259999999997,4.3,1897.0,1
Frienda 8 Pairs Heart Shaped Sunglasses for Women Rimless Heart Glasses Candy Color Heart Sunglasses for Party Favor,Frienda,$,20.997259999999997,4.7,3308.0,2
QALLY Polarized Sunglasses Men Lightweight Square Mens Sun Glasses for Driving Sports with UV400 Protection,QALLY,$,19.99,4.5,629.0,2
"KastKing FlatRock Polarized Sport Sunglasses for Men and Women, Ideal for Driving Fishing Cycling Running, UV Protection",KastKing,$,26.99,4.5,502.0,2
Ofwin Polarized Sports Sunglasses for Men Women Unbreakable Frame Cycling Fishing Wrap Around Sunglasses UV400 Protection,Ofwin,$,20.997259999999997,4.5,49.0,2
A｜X ARMANI EXCHANGE Men's Ax2012s Rectangular Sunglasses,A｜X ARMANI EXCHANGE,$,20.997259999999997,4.5,412.0,2
"KastKing Hiwassee Polarized Sport Sunglasses for Men and Women, Wrap Sunglasses for Fishing Cycling and Running,UV Protection",KastKing,$,20.997259999999997,4.5,6109.0,2
BEACOOL Polarized Sports Sunglasses for Men Women Youth Baseball Cycling Running Driving Fishing Golf Motorcycle TAC Glasses,BEACOOL,$,21.99,4.4,9245.0,2
"ZENOTTIC Polarized Round Sunglasses, Stylish Sunglasses for Men and Women Retro Classic, Multi-Style Selection",ZENOTTIC,$,20.997259999999997,4.2,4304.0,1
suoso Polarized Sunglasses Men Sports Sunglasses Womens: UV400 Protection Sunglasses for Women Wrap Around Cycling Glasses,suoso,$,19.99,4.5,466.0,2
MEETSUN Polarized Sunglasses for Men Women Classic Retro Sun Glasses for Driving Fishing 100% UV Protection,MEETSUN,$,15.99,4.4,1073.0,2
Ray-Ban RB2140 Original Wayfarer Sunglasses,Ray-Ban,$,20.997259999999997,4.5,8876.0,2
Goodr Mach GS Sunglasses,Goodr,$,20.997259999999997,4.7,216.0,2
